"","power_wt","psg_wt","pilot_wt","range_wt","toffdist_wt","recharge_time_wt","airspeed_wt","grdspeed_wt","utility","cost"
"18659",1,1,1,0.5,1,0.5,0.5,1,0.711111111111111,5100
"18692",1,0.7,1,1,1,0.5,0.5,1,0.706666666666667,5270
"18695",1,1,1,1,1,0.5,0.5,1,0.766666666666667,5450
"18696",0.5,1,1,1,1,0.5,0.5,1,0.688888888888889,5450
"18707",1,1,0.5,1,1,0.5,0.5,1,0.7,5450
"18839",1,1,1,1,0.5,0.5,0.5,1,0.722222222222222,5450
"18983",1,1,1,1,0,0.5,0.5,1,0.677777777777778,5450
"19091",1,1,1,0.5,1,0,0.5,1,0.688888888888889,4950
"19124",1,0.7,1,1,1,0,0.5,1,0.684444444444444,5120
"19127",1,1,1,1,1,0,0.5,1,0.744444444444444,5300
"19139",1,1,0.5,1,1,0,0.5,1,0.677777777777778,5300
"19271",1,1,1,1,0.5,0,0.5,1,0.7,5300
"19451",1,1,1,0,1,1,1,1,0.711111111111111,5000
"19487",1,1,1,0.1,1,1,1,1,0.722222222222222,5070
"19520",1,0.7,1,0.5,1,1,1,1,0.706666666666667,5170
"19523",1,1,1,0.5,1,1,1,1,0.766666666666667,5350
"19524",0.5,1,1,0.5,1,1,1,1,0.688888888888889,5350
"19535",1,1,0.5,0.5,1,1,1,1,0.7,5350
"19553",1,0.4,1,1,1,1,1,1,0.702222222222222,5340
"19556",1,0.7,1,1,1,1,1,1,0.762222222222222,5520
"19557",0.5,0.7,1,1,1,1,1,1,0.684444444444444,5520
"19558",0.2,1,1,1,1,1,1,1,0.697777777777778,5700
"19559",1,1,1,1,1,1,1,1,0.822222222222222,5700
"19560",0.5,1,1,1,1,1,1,1,0.744444444444444,5700
"19568",1,0.7,0.5,1,1,1,1,1,0.695555555555556,5520
"19571",1,1,0.5,1,1,1,1,1,0.755555555555556,5700
"19572",0.5,1,0.5,1,1,1,1,1,0.677777777777778,5700
"19583",1,1,0.2,1,1,1,1,1,0.715555555555556,5700
"19631",1,1,1,0.1,0.5,1,1,1,0.677777777777778,5070
"19667",1,1,1,0.5,0.5,1,1,1,0.722222222222222,5350
"19700",1,0.7,1,1,0.5,1,1,1,0.717777777777778,5520
"19703",1,1,1,1,0.5,1,1,1,0.777777777777778,5700
"19704",0.5,1,1,1,0.5,1,1,1,0.7,5700
"19715",1,1,0.5,1,0.5,1,1,1,0.711111111111111,5700
"19727",1,1,0.2,1,0.5,1,1,1,0.671111111111111,5700
"19811",1,1,1,0.5,0,1,1,1,0.677777777777778,5350
"19844",1,0.7,1,1,0,1,1,1,0.673333333333333,5520
"19847",1,1,1,1,0,1,1,1,0.733333333333333,5700
"19883",1,1,1,0,1,0.5,1,1,0.688888888888889,4850
"19919",1,1,1,0.1,1,0.5,1,1,0.7,4920
"19952",1,0.7,1,0.5,1,0.5,1,1,0.684444444444444,5020
"19955",1,1,1,0.5,1,0.5,1,1,0.744444444444444,5200
"19967",1,1,0.5,0.5,1,0.5,1,1,0.677777777777778,5200
"19985",1,0.4,1,1,1,0.5,1,1,0.68,5190
